统计年度,省,市,县,建筑编码,建筑名称,地址,竣工年度,建筑类型,建筑功能,层数,建筑面积,电,煤炭,天然气,液化石油气,人工煤气,供热量,制冷量
2015,220000,220100,220102,220102000000130001,万龙1栋,亚泰大街与东四马路交汇,2000,1,,10,7456,60000,98857,0,0,0,40000,0
2015,220000,220100,220102,220102000000130002,万龙2栋,亚泰大街与东四马路交汇,2000,1,,10,4428,76776,39800,0,0,0,39800,0
2015,220000,220100,220102,220102000000130003,万龙3栋,亚泰大街与东四马路交汇,2000,1,,10,3640,64577,37562,0,0,0,32568,0
2015,220000,220100,220102,220102000000130004,万龙4栋,亚泰大街与东四马路交汇,2000,1,,10,7011,55366,85656,0,0,0,33421,0
2015,220000,220100,220102,220102000000130005,万龙5栋,亚泰大街与东四马路交汇,2000,1,,10,7011,66665,85664,0,0,0,33452,0
2015,220000,220100,220102,220102000000130006,万龙6栋,亚泰大街与东四马路交汇,2000,1,,10,13635,66565,133454,0,0,0,99998,0
2015,220000,220100,220102,220102000000130007,万龙7栋,亚泰大街与东四马路交汇,2000,1,,10,9910,63456,95755,0,0,0,35425,0
2015,220000,220100,220102,220102000000130008,万龙8栋,亚泰大街与东四马路交汇,2000,1,,10,9910,65456,99565,0,0,0,32452,0
2015,220000,220100,220102,220102000000130009,万龙9栋,亚泰大街与东四马路交汇,2000,1,,10,11783,66345,99954,0,0,0,84533,0
2015,220000,220100,220102,220102000000130010,树东小区19栋,树东胡同149号,1986,1,,10,2333,66634,32542,0,0,0,32456,0
2015,220000,220100,220102,220102000000130011,树东小区20栋,树东胡同111号,1998,1,,10,3482,60000,32456,0,0,0,34525,0
2015,220000,220100,220102,220102000000130012,电力3-1,曙光路430号,2000,1,,10,5600,66345,34256,0,0,0,34564,0
2015,220000,220100,220102,220102000000130013,电力3-2,曙光路512号,2000,1,,10,3668,66353,34525,0,0,0,34562,0
2015,220000,220100,220102,220102000000130014,电力3-3,曙光路562号,2000,1,,10,5596,56635,77434,0,0,0,34256,0
2015,220000,220100,220102,220102000000130015,万龙10栋,亚泰大街与东四马路交汇,2000,1,,10,17105,77353,159875,0,0,0,99565,0
2015,220000,220100,220102,220102000000130016,万龙11栋,亚泰大街与东四马路交汇,2000,1,,10,7531,77345,94223,0,0,0,34567,0
2015,220000,220100,220102,220102000000130017,万龙12栋,亚泰大街与东四马路交汇,2000,1,,10,7531,66343,95464,0,0,0,33456,0
2015,220000,220100,220102,220102000000130018,万龙13栋,亚泰大街与东四马路交汇,2000,1,,10,10007,66343,97564,0,0,0,34455,0
2015,220000,220100,220102,220102000000130019,万龙14栋,亚泰大街与东四马路交汇,2000,1,,10,10007,56663,95643,0,0,0,34256,0
2015,220000,220100,220102,220102000000130020,万龙15栋,亚泰大街与东四马路交汇,2000,1,,10,5926,66345,95633,0,0,0,33552,0
2015,220000,220100,220102,220102000000130021,万龙16栋,亚泰大街与东四马路交汇,2000,1,,10,10066,63422,77355,0,0,0,32000,0
2015,220000,220100,220102,220102000000130022,万龙17栋,亚泰大街与东四马路交汇,2000,1,,10,10066,56232,73553,0,0,0,31000,0
2015,220000,220100,220102,220102000000130023,万龙18栋,亚泰大街与东四马路交汇,2000,1,,10,5069,66733,20000,0,0,0,29000,0
2015,220000,220100,220102,220102000000130024,万龙19栋,亚泰大街与东四马路交汇,2000,1,,10,3971,77343,28000,0,0,0,38000,0
2015,220000,220100,220102,220102000000130025,光机一区1栋,人民大街6142号,1988,1,,10,3819,66343,15000,0,0,0,15000,0
2015,220000,220100,220102,220102000000130026,光机一区2栋,人民大街6142号,1988,1,,10,3858,66342,15000,0,0,0,12000,0
2015,220000,220100,220102,220102000000130027,光机一区3栋,人民大街6142号,1990,1,,10,3621,66342,16820,0,0,0,11180,0
2015,220000,220100,220102,220102000000130028,光机一区4栋,人民大街6142号,1995,1,,10,5711,67734,77355,0,0,0,13000,0
2015,220000,220100,220102,220102000000130029,光机一区5栋,人民大街6142号,1997,1,,10,5840,63432,77355,0,0,0,15000,0
2015,220000,220100,220102,220102000000130030,光机一区6栋,人民大街6142号,1997,1,,10,5911,67334,88453,0,0,0,14000,0
2015,220000,220100,220102,220102000000130031,光机一区7栋,人民大街6142号,1998,1,,10,4895,66353,89945,0,0,0,12000,0
2015,220000,220100,220102,220102000000130032,光机一区8栋,人民大街6142号,1999,1,,10,6051,66343,84577,0,0,0,12000,0
2015,220000,220100,220102,220102000000130033,光机一区9栋,人民大街6142号,2000,1,,10,5743,66343,88454,0,0,0,14000,0
2015,220000,220100,220102,220102000000130034,光机一区10栋,人民大街6142号,2002,1,,10,4759,66342,77844,0,0,0,11000,0
2015,220000,220100,220102,220102000000130035,光机一区11栋,人民大街6142号,2000,1,,10,6910,63434,88456,0,0,0,11000,0
2015,220000,220100,220102,220102000000130036,光机一区12栋,人民大街6142号,2003,1,,10,6560,74545,78434,0,0,0,10000,0
2015,220000,220100,220102,220102000000130037,光机一区13栋,人民大街6142号,2000,1,,10,6692,66346,66346,0,0,0,10000,0
2015,220000,220100,220102,220102000000130038,树东小区1栋,平泉路1577号,2000,1,,10,4668,66343,0,0,9999,0,8800,0
2015,220000,220100,220102,220102000000130039,树东小区2栋,平泉路1613A号,2000,1,,10,2215,66346,0,0,5000,0,9000,0
2015,220000,220100,220102,220102000000130040,树东小区3栋,树勋街1279号,2000,1,,10,852,66334,0,0,5200,0,8000,0
2015,220000,220100,220102,220102000000130041,树东小区4栋,平泉路1279号,2000,1,,10,863,55266,0,0,0,4400,0,0
2015,220000,220100,220102,220102000000130042,树东小区5栋,树勋街1265号,2000,1,,10,4127,66346,0,0,0,77355,0,0
2015,220000,220100,220102,220102000000130043,树东小区6栋,树东胡同106A号,2000,1,,10,2193,64667,0,0,0,14800,0,0
2015,220000,220100,220102,220102000000130044,树东小区7栋,树勋街12637号,2000,1,,10,3299,66346,0,0,0,15000,0,0
2015,220000,220100,220102,220102000000130045,树东小区8栋,树勋街1203号,2000,1,,10,5898,66663,0,0,0,66344,0,0
2015,220000,220100,220102,220102000000130046,树东小区10栋,平泉路1685号,2000,1,,10,2441,66346,0,0,0,15000,0,0
2015,220000,220100,220102,220102000000130047,树东小区11栋,平泉路8685号,2000,1,,10,2449,66366,0,0,0,14000,0,0
2015,220000,220100,220102,220102000000130048,树东小区12栋,岳阳街900号,2000,1,,10,851,66376,0,0,0,3000,0,0
2015,220000,220100,220102,220102000000130049,树东小区13栋,平泉路1693A号,2000,1,,10,857,66634,0,0,0,2000,0,0
2015,220000,220100,220102,220102000000130050,树东小区14栋,岳阳街884号,2000,1,,10,4628,66345,0,0,0,30000,0,0
2015,220000,220100,220102,220102000000130051,树东小区15栋,树东胡同110号,2000,1,,10,2356,77634,0,0,0,14000,0,0
2015,220000,220100,220102,220102000000130052,树东小区16栋,树东胡同146号,2000,1,,10,2246,66635,0,0,0,16000,0,0
2015,220000,220100,220102,220102000000130053,树东小区17栋,树东胡同176号,2000,1,,10,2553,66636,0,0,0,18000,0,0
2015,220000,220100,220102,220102000000130054,树东小区18栋,树东胡同177号,2000,1,,10,2259,66366,0,0,0,16000,0,0
2015,220000,220100,220102,220102000000130055,居家乐小区9栋,岳阳街756号,2000,1,,10,7946,66366,0,0,0,80000,0,0
2015,220000,220100,220102,220102000000130056,居家乐小区10栋,岳阳街800号,2000,1,,10,10276,66636,0,0,0,99775,0,0
2015,220000,220100,220102,220102000000130057,电力小区1-4栋,曙光路19号,2000,1,,10,2245,66366,0,0,0,6000,0,0
2015,220000,220100,220102,220102000000130058,电力小区1-5栋,曙光路17号,2000,1,,10,2245,66366,0,0,0,8000,0,0
2015,220000,220100,220102,220102000000130059,电力小区1-6栋,曙光路15号,2000,1,,10,5058,55663,0,0,0,66344,0,0
2015,220000,220100,220102,220102000000130060,电力小区1-7栋,曙光路19-3号,2000,1,,10,4767,66636,0,0,0,66636,0,0
2015,220000,220100,220102,220102000000130061,电力小区1-10栋,曙光路17-12号,2000,1,,10,4930,77466,0,0,0,40000,0,0
2015,220000,220100,220102,220102000000130062,电力小区1-11栋,岳阳街26号,2000,1,,10,6259,66466,0,0,0,55563,0,0
2015,220000,220100,220102,220102000000130063,电力小区1-12栋,曙光路19-8号,2000,1,,10,5029,66465,0,0,0,38000,0,0
2015,220000,220100,220102,220102000000130064,电力小区1-13栋,岳阳街26号,2000,1,,10,2932,66474,0,0,0,16000,0,0
2015,220000,220100,220102,220102000000130065,电力小区1-15栋,通化路38-12号,2000,1,,10,6415,55366,0,0,0,66345,0,0
2015,220000,220100,220102,220102000000130066,电力小区1-16栋,通化路36-11号,2000,1,,10,4256,77353,0,0,0,28000,0,0
2015,220000,220100,220102,220102000000130067,电力小区1-18栋,通化路38-11号,2000,1,,10,891,66355,0,0,0,2900,0,0
2015,220000,220100,220102,220102000000130068,电力小区1-19栋,通化路38-16号,2000,1,,10,2538,77455,0,0,0,8000,0,0
2015,220000,220100,220102,220102000000130069,电力小区1-20栋,通化路38号,2000,1,,10,3365,66466,0,0,0,9000,0,0
2015,220000,220100,220102,220102000000130070,电力小区1-21栋,通化路36号,2000,1,,10,3175,74566,0,0,0,6000,0,0
2015,220000,220100,220102,220102000000130071,电力小区1-23栋,岳阳街24号,2000,1,,10,6856,77456,0,0,0,52000,0,0
2015,220000,220100,220102,220102000000130072,电力小区1-24栋,通化路34-1号,2000,1,,10,4703,77455,0,0,0,36000,0,0
2015,220000,220100,220102,220102000000130073,居家乐小区1栋,树勋街1077号,2000,1,,10,4478,66434,0,0,0,77777,0,0
2015,220000,220100,220102,220102000000130074,居家乐小区2栋,树勋街1077号,2000,1,,10,3313,66346,0,0,0,18000,0,0
2015,220000,220100,220102,220102000000130075,居家乐小区3栋,树勋街1109号,2000,1,,10,6210,66335,0,0,0,55555,0,0
2015,220000,220100,220102,220102000000130076,居家乐小区4栋,树勋街1141号,2000,1,,10,5694,66364,0,0,0,46656,0,0
2015,220000,220100,220102,220102000000130077,居家乐小区5栋,树勋街1167号,2000,1,,10,7519,66336,0,0,0,73466,0,0
2015,220000,220100,220102,220102000000130078,居家乐小区6栋,曙光路750A号,2000,1,,10,6547,66464,0,0,0,75355,0,0
2015,220000,220100,220102,220102000000130079,居家乐小区7栋,曙光路750号,2000,1,,10,6249,66466,0,0,0,74423,0,0
2015,220000,220100,220102,220102000000130080,居家乐小区8栋,曙光路750C号,2000,1,,10,3047,66456,0,0,0,19000,0,0
2015,220000,220100,220102,220102000000210001,吉林森林工业有限股份有限公司,人民大街4036号,1990,2,1,5,6200,66636,0,16000,0,0,0,0
2015,220000,220100,220102,220102000000230001,森工宾馆,人民大街4036号,1995,2,3,7,5500,66366,0,15000,0,0,0,0
2015,220000,220100,220102,220102000000230002,金海湾,人民大街3926号,1997,2,3,4,3200,66466,0,12000,0,0,0,0
2015,220000,220100,220102,220102000000230003,七天酒店,人民大街与平泉路交汇处,2013,2,3,8,3000,66466,0,9000,0,0,0,0
2015,220000,220100,220102,220102000000230004,电业文化宫,南关区通化路1206号,1989,2,3,6,9400,66466,0,0,0,86666,0,0
2015,220000,220100,220102,220102000000230005,诺亚明珠酒店,南环城路,2006,2,3,7,3200,66643,0,8000,0,0,0,0
2015,220000,220100,220102,220102000000240001,长春市104中小学部,树勋街639号,1980,2,4,3,7600,66646,50000,0,0,0,0,0
2015,220000,220100,220102,220102000000240002,二实验小学,人民大街高速路口,2000,2,4,6,15000,66466,123323,0,0,0,0,0
2015,220000,220100,220102,220102000000240003,二十六中,市府南路与幸福街交汇,1998,2,4,4,10000,66466,99567,0,0,0,0,0
2015,220000,220100,220102,220102000000240004,省教育学院,幸福二路南,1998,2,4,20,15000,55344,0,0,0,192000,0,0
2015,220000,220100,220102,220102000000240005,明珠小学,轻轨亚泰大街站点南300米,2000,2,4,6,7586,66344,0,0,0,84400,0,0
2015,220000,220100,220102,220102000000240006,长春邮件处理中心,人民大街10112号,2009,2,4,4,15000,66636,0,0,0,152000,0,0
2015,220000,220100,220102,220102000000240007,长春明珠会所、超市,人民大街8668号,2009,2,4,4,8000,66366,0,0,0,80000,0,0
2015,220000,220100,220102,220102000000410001,吉林省财政厅,人民大街3646号,1997,4,,22,30000,66366,0,198000,0,0,0,0
2015,220000,220100,220102,220102000000410002,吉林省体育局,亚泰大街与自由大路交汇,2013,4,,8,37520,64666,0,204567,0,0,0,0
2015,220000,220100,220102,220102000000410003,总工会,人民大街2302号,2011,4,,1,31000,66466,0,181000,0,0,0,0
2015,220000,220100,220102,220102000000410004,吉林省人社厅,亚泰大街3336号,2005,4,,14,24603,66466,0,160000,0,0,0,0
2015,220000,220100,220102,220102000000410005,吉林省工商行政管理局,东南湖大路599号,2003,4,,15,25000,64666,0,120000,0,0,0,0
2015,220000,220100,220102,220102000000410006,省检察院,南环城路3777号,2012,4,,8,100500,64646,0,537800,0,0,0,0
2015,220000,220100,220102,220102000000410007,市检察院,南三环路跟河堤路交汇,2012,4,,8,100000,66636,0,580600,0,0,0,0
2015,220000,220100,220102,220102000000420001,南关区国家税务局,东南湖大路1377号,2005,4,,12,13000,66344,0,145466,0,0,0,0
2015,220000,220100,220102,220102000000420002,长春市市容环卫局,东南湖大路1477号,2002,4,,4,5713,66366,0,119800,0,0,0,0
2015,220000,220100,220102,220102000000420003,南关区人民政府,自由大路3388号,1993,4,,8,12847,63466,0,0,0,530000,0,0
2015,220000,220100,220102,220102000000420004,南关区公安分局,自由大路3298号,2001,4,,11,11934,64366,0,150000,0,0,0,0
2015,220000,220100,220102,220102000000420005,吉林省体育运动学校,自由大路2479号,1994,4,,5,6916,66466,0,116000,0,0,0,0
2015,220000,220100,220102,220102000000420006,长春市土地储备中心,人民大街6066号,2006,4,,3,3887,66466,0,16000,0,0,0,0
2015,220000,220100,220102,220102000000420007,吉林省审计厅,磐石路与亚泰大街交汇,2005,4,,12,13000,66466,0,0,0,136000,0,0
2015,220000,220100,220102,220102000000420008,吉林省发改委,人民大街7426号,1985,4,,8,3451,64666,0,0,0,93800,0,0
2015,220000,220100,220102,220102000000420009,吉林人民教育出版社,人民大街7568号,1998,4,,8,3924,64666,0,15640,0,0,0,0
2015,220000,220100,220102,220102000000420010,中科院长春分院,人民大街7520号,1997,4,,6,4329,64666,0,45345,0,0,0,0
2015,220000,220100,220102,220102000000420011,吉林省水利资源局,繁荣路与亚泰大街交汇,2000,4,,6,9100,66466,0,0,0,160004,0,0
2015,220000,220100,220102,220102000000420012,吉林省总工会,人民大街6939号,1986,4,,6,10000,64666,0,96000,0,0,0,0
2015,220000,220100,220102,220102000000420013,吉林省林业厅,亚泰大街3098,2004,4,,25,19275,63666,0,0,0,280000,0,0
2015,220000,220100,220102,220102000000420014,东岭小学,东岭北街,1997,4,,4,4500,66443,0,0,0,58000,0,0
2015,220000,220100,220102,220102000000420015,省直机关事务管理局,人民大街1556号,1937,4,,6,14000,66346,0,77774,0,0,0,0
2015,220000,220100,220102,220102000000420016,长春市商务局,人民大街1556号,1994,4,,7,16000,64663,0,148000,0,0,0,0
2015,220000,220100,220102,220102000000420017,档案局,民安路63号,1988,4,,1,18721,64463,0,93200,0,0,0,0
2015,220000,220100,220102,220102000000420018,工人文化宫,人民大街2302号,1958,4,,1,15966,66346,0,68222,0,0,0,0
2015,220000,220100,220102,220102000000420019,自强街道办事处,民康路476号,1989,4,,6,3080,63466,0,18000,0,0,0,0
2015,220000,220100,220102,220102000000420020,国土资源厅,长春大街500号,1993,4,,15,16000,64366,0,148000,0,0,0,0
2015,220000,220100,220102,220102000000420021,平泉小学,平泉路,1968,4,,4,3800,77477,0,42200,0,0,0,0
2015,220000,220100,220102,220102000000420022,吉林省军官专业服务中心,南环路1779号,2007,4,,7,6800,76463,0,45000,0,0,0,0
2015,220000,220100,220102,220102000000420023,市法院,南四环路?,2012,4,,6,8500,63466,0,50000,0,0,0,0
2015,220000,220100,220102,220102001000220001,远方超市,亚泰大街6528号,1995,2,2,1,3222,64436,0,16200,0,0,0,0
2015,220000,220100,220102,220102001000220002,利民综合超市,亚泰大街育工路交汇,2001,2,2,1,3212,66436,0,15000,0,0,0,0
2015,220000,220100,220102,220102001000220003,瑞达生活超市,中环19区一栋,2001,2,2,1,3423,66436,0,0,0,35000,0,0
2015,220000,220100,220102,220102001000220004,远方超市,亚泰大街6528号,1995,2,2,1,3322,66466,0,15000,0,0,0,0
2015,220000,220100,220102,220102001000220005,利民综合超市,亚泰大街育工路交汇,2001,2,2,1,3223,66465,0,36000,0,0,0,0
2015,220000,220100,220102,220102001000220006,瑞达生活超市,中环19区一栋,2001,2,2,1,3323,66463,0,0,0,60000,0,0
2015,220000,220100,220102,220102001000220007,华润万家,东南湖大路889号,2004,2,2,3,16249,66436,0,0,0,445000,0,0
2015,220000,220100,220102,220102001000220008,南岭干休所,亚泰大街7149号,1993,2,2,3,3000,64463,0,15200,0,0,0,0
2015,220000,220100,220102,220102001000220009,吉林银行,人民大街7322号,1984,2,2,6,3000,66466,0,0,0,45200,0,0
2015,220000,220100,220102,220102001000220010,长春长飞医院,人民大街7568号,1998,2,2,8,3924,66364,0,12000,0,0,0,0
2015,220000,220100,220102,220102001000230001,盛川王府,东岭南街231号,1998,2,3,7,3324,64636,0,0,0,36000,0,0
2015,220000,220100,220102,220102001000230002,小麦田酱肉大饼,东岭南街171号,1998,2,3,7,3324,64636,0,0,0,38000,0,0
2015,220000,220100,220102,220102001000230003,赖记打边炉,南湖大路1866号,2008,2,3,1,3342,64366,0,15000,0,0,0,0
2015,220000,220100,220102,220102001000230004,如一坊,亚泰大街6909号,2007,2,3,2,3342,64366,0,16000,0,0,0,0
2015,220000,220100,220102,220102001000230005,绿岛宾馆,亚泰大街6987号,1992,2,3,2,3342,63646,0,18000,0,0,0,0
2015,220000,220100,220102,220102001000230006,雅怡会所,人民大街7088号,2005,2,3,2,3342,63466,0,20000,0,0,0,0
2015,220000,220100,220102,220102001000230007,盛川王府,东岭南街231号,1998,2,3,7,3323,63664,0,22000,0,0,0,0
2015,220000,220100,220102,220102001000230008,小麦田酱肉大饼,东岭南街171号,1998,2,3,7,3323,66466,0,0,45670,0,0,0
2015,220000,220100,220102,220102001000230009,吉林省华美达酒店,自由大路3158号,1992,2,3,17,12000,66466,0,95666,0,0,0,0
2015,220000,220100,220102,220102001000230010,林业宾馆,人民大街与自由大路交汇,1974,2,3,5,6064,66466,0,14553,12002,0,0,0
2015,220000,220100,220102,220102001000230011,赖记打边炉,南湖大路1866号,2008,2,3,1,3332,66366,0,0,12000,0,0,0
2015,220000,220100,220102,220102001000230012,如一坊,亚泰大街6909号,2007,2,3,2,3332,66636,0,0,19000,0,0,0
2015,220000,220100,220102,220102001000230013,绿岛宾馆,亚泰大街6987号,1992,2,3,2,3332,66636,0,15000,0,0,0,0
2015,220000,220100,220102,220102001000230014,雅怡会所,人民大街7088号,2005,2,3,2,3332,66466,0,19000,0,0,0,0
2015,220000,220100,220102,220102001000230015,速8酒店,人民大街7426号,1985,2,3,6,3000,66366,0,25000,0,0,0,0
2015,220000,220100,220102,220102001000240001,东岭联通,东岭南街1103号,2008,2,4,4,3322,66466,0,38000,0,0,0,0
2015,220000,220100,220102,220102001000240002,童翼学前,人民大街2222号,2000,2,4,3,3342,64664,0,35445,0,0,0,0
2015,220000,220100,220102,220102001000240003,中国银行,人民大街5988号,2005,2,4,2,3344,64666,0,21131,0,0,0,0
2015,220000,220100,220102,220102001000240004,吉大附中小学部,武威路377号,1982,2,4,5,4655,66466,0,45432,0,0,0,0
2015,220000,220100,220102,220102001000240005,长春市五十六中学,东南湖大路961号,2003,2,4,6,14448,66466,0,255222,0,0,0,0
2015,220000,220100,220102,220102001000240006,东岭联通,东岭南街1103号,2008,2,4,4,3323,66466,0,0,0,116680,0,0
2015,220000,220100,220102,220102001000240007,长春市鹏程医院,鑫鹏花园7号楼,2006,2,4,7,5000,66646,0,20000,0,0,0,0
2015,220000,220100,220102,220102001000240008,东北师范大学逸夫科技馆,人民大街5268号,1990,2,4,6,14921,66466,0,0,0,210000,0,0
2015,220000,220100,220102,220102001000240009,东北师范大学历史文化学院,人民大街5268号,1954,2,4,3,4566,66466,0,36000,0,0,0,0
2015,220000,220100,220102,220102001000240010,东北师范大学化学学院,人民大街5268号,1954,2,4,4,5486,66466,0,28000,0,0,0,0
2015,220000,220100,220102,220102001000240011,东北师范大学物理学院,人民大街5268号,1954,2,4,4,5525,66466,0,26800,0,0,0,0
2015,220000,220100,220102,220102001000240012,东北师范大学文学院,人民大街5268号,1961,2,4,3,3049,64666,0,14600,0,0,0,0
2015,220000,220100,220102,220102001000240013,东北师范大学城环学院,人民大街5268号,1956,2,4,6,7288,66366,0,45200,0,0,0,0
2015,220000,220100,220102,220102001000240014,东北师范大学外语学院,人民大街5268号,1989,2,4,8,9042,66466,0,116000,0,0,0,0
2015,220000,220100,220102,220102001000240015,东北师范大学共同教学院,人民大街5268号,1956,2,4,4,8594,66436,0,102012,0,0,0,0
2015,220000,220100,220102,220102001000240016,东北师范大学生科院,人民大街5268号,2000,2,4,6,10484,66646,0,81600,0,0,0,0
2015,220000,220100,220102,220102001000240017,吉林大学南岭校区一教,人民大街5988号,1956,2,4,3,8235,66466,0,60000,0,0,0,0
2015,220000,220100,220102,220102001000240018,吉林大学南岭校区二教,人民大街5988号,1960,2,4,5,10423,66466,0,99775,0,0,0,0
2015,220000,220100,220102,220102001000240019,吉林大学南岭校区三教,人民大街5988号,1940,2,4,3,7503,66636,0,33000,0,0,0,0
2015,220000,220100,220102,220102001000240020,吉林大学南岭校区五教,人民大街5988号,1996,2,4,6,7476,66346,0,56000,0,0,0,0
2015,220000,220100,220102,220102001000240021,长春急救中心业务办公楼,人民大街5988号,1956,2,4,4,5874,66463,0,44000,0,0,0,0
2015,220000,220100,220102,220102001000240022,童翼学前,人民大街2222号,2000,2,4,3,600,66466,0,4800,0,0,0,0
2015,220000,220100,220102,220102001000240023,长春航空大学医院,人民大街6666号,2000,2,4,4,4700,66466,0,26000,0,0,0,0
2015,220000,220100,220102,220102001000240024,陆羽茶楼,南湖大路1850号,1995,2,4,7,17407,66636,0,0,0,822100,0,0
2015,220000,220100,220102,220102001000240025,南岭小学,亚泰大街6908号,2000,2,4,5,5100,66466,0,0,0,138010,0,0
2015,220000,220100,220102,220102001000240026,中国银行,人民大街5988号,2005,2,4,2,2005,66466,0,14420,0,0,0,0
2015,220000,220100,220102,220102001000310001,恒业广场,东南湖大路1119号,2013,3,1,19,40000,66466,0,360000,0,0,0,0
2015,220000,220100,220102,220102001000310002,南湖假日,东南湖大路1999号,2008,3,1,26,48473,66466,0,400000,0,0,0,0
2015,220000,220100,220102,220102001000310003,五环国际大厦,亚泰大街与自由大路交汇,2010,3,1,29,36267,66366,0,350000,0,0,0,0
2015,220000,220100,220102,220102001000310004,天骄大厦,南湖大路2030号,2002,3,1,24,29000,66436,0,380000,0,0,0,0
2015,220000,220100,220102,220102001000310005,万晟物业,亚泰大街6789号,2007,3,1,18,41000,66464,0,465000,0,0,0,0
2015,220000,220100,220102,220102001000310006,伟峰国际,人民大街7088号,2005,3,1,26,31000,64666,0,460000,0,0,0,0
2015,220000,220100,220102,220102001000320001,中泰商城,亚泰大街6528号,1995,3,2,6,29000,66466,0,240000,0,0,0,0
2015,220000,220100,220102,220102001000330001,君悦健身,东岭南街393号,2004,3,3,4,28000,66466,0,360000,0,0,0,0
2015,220000,220100,220102,220102001000330002,海航紫金花酒店,人民大街5688号,2003,3,3,22,53000,66646,0,420000,0,0,0,0
2015,220000,220100,220102,220102001000330003,国盛大酒店,人民大街7058号,2002,3,3,24,26700,66463,0,256600,0,0,0,0
2015,220000,220100,220102,220102001000340001,吉林大学南岭校区逸夫楼,人民大街5988号,2003,3,4,9,38866,66466,0,350000,0,0,0,0
2015,220000,220100,220102,220102001000420001,工行东岭南街支行,东岭南街223号,1998,4,,7,3222,66465,0,32000,0,0,0,0
2015,220000,220100,220102,220102001000420002,工行东岭南街支行,东岭南街223号,1998,4,,7,430,66436,0,3100,0,0,0,0
2015,220000,220100,220102,220102002000210001,健康大厦,大经路151号,1988,2,1,18,15400,66446,0,110000,0,0,0,0
2015,220000,220100,220102,220102002000210002,乐淘商场,清明街73号,1990,2,1,1,3324,66443,0,16300,0,0,0,0
2015,220000,220100,220102,220102002000210003,乐淘商场,清明街73号,1990,2,1,1,3323,66446,0,20000,0,0,0,0
2015,220000,220100,220102,220102002000220001,长春市和平大世界,重庆路279号,1999,2,2,6,7200,66466,0,45000,0,0,0,0
2015,220000,220100,220102,220102002000220002,长春饭店,重庆路661号,1960,2,2,4,3324,66443,0,9600,0,0,0,0
2015,220000,220100,220102,220102002000220003,百祥鞋城,重庆路202号,1985,2,2,4,3324,66443,0,48000,0,0,0,0
2015,220000,220100,220102,220102002000220004,七夕宾馆,长春大街857号,1978,2,2,4,3323,66336,0,23000,0,0,0,0
2015,220000,220100,220102,220102002000220005,集眠社,重庆小区9栋,1989,2,2,7,3332,66466,0,22000,0,0,0,0
2015,220000,220100,220102,220102002000220006,美特斯邦威,重庆路515号,1986,2,2,6,6500,66466,0,46000,0,0,0,0
2015,220000,220100,220102,220102002000220007,长春市新百信商贸有限公司,重庆路77号,2002,2,2,6,10000,66466,0,0,0,156200,0,0
2015,220000,220100,220102,220102002000220008,乐语通讯,重庆路3号,1988,2,2,8,18000,66366,0,164200,0,0,0,0
2015,220000,220100,220102,220102002000220009,长春饭店,重庆路661号,1960,2,2,4,1760,66366,0,4610,0,0,0,0
2015,220000,220100,220102,220102002000220010,人防商场,人民大街1709号,1988,2,2,2,13000,66466,0,152000,0,0,0,0
2015,220000,220100,220102,220102002000220011,嘉里中心,人民大街2706,1938,2,2,1,10000,66646,0,77745,0,0,0,0
2015,220000,220100,220102,220102002000220012,百祥鞋城,重庆路202号,1985,2,2,4,3332,66466,0,16000,0,0,0,0
2015,220000,220100,220102,220102002000220013,七夕宾馆,长春大街857号,1978,2,2,4,1961,66466,0,19000,0,0,0,0
2015,220000,220100,220102,220102002000220014,集眠社,重庆小区9栋,1989,2,2,7,3323,66466,0,15000,0,0,0,0
2015,220000,220100,220102,220102002000220015,圈楼,重庆胡同18号,1995,2,2,5,7801,66466,0,60000,0,0,0,0
2015,220000,220100,220102,220102002000220016,韦伯时代,重庆路18号,2007,2,2,6,12000,66466,0,77745,0,0,0,0
2015,220000,220100,220102,220102002000230001,优100宾馆,重庆路431号,1974,2,3,2,3324,66646,0,16200,0,0,0,0
2015,220000,220100,220102,220102002000230002,绿岛宾馆,重庆小区10栋,1989,2,3,7,3323,66466,0,8602,0,0,0,0
2015,220000,220100,220102,220102002000230003,DNA酒店,清明街868号,2009,2,3,7,3324,66666,0,18000,0,0,0,0
2015,220000,220100,220102,220102002000230004,育智小学,法治胡同165号,1989,2,3,4,3322,77466,0,19600,0,0,0,0
2015,220000,220100,220102,220102002000230005,恒悦宾馆,平治街,1989,2,3,4,3342,64666,0,45600,0,0,0,0
2015,220000,220100,220102,220102002000230006,东煤宾馆,长春大街860号,1979,2,3,5,3332,77455,0,9500,0,0,0,0
2015,220000,220100,220102,220102002000230007,优100宾馆,重庆路431号,1974,2,3,2,3332,66465,0,35000,0,0,0,0
2015,220000,220100,220102,220102002000230008,绿岛宾馆,重庆小区10栋,1989,2,3,7,3333,66455,0,26000,0,0,0,0
2015,220000,220100,220102,220102002000230009,25小时宾馆,清明街73号,1990,2,3,7,3000,66455,0,9600,0,0,0,0
2015,220000,220100,220102,220102002000230010,DNA酒店,清明街868号,2009,2,3,7,3323,64554,0,16000,0,0,0,0
2015,220000,220100,220102,220102002000230011,如家酒店,大经路1189号,1989,2,3,7,3960,64545,0,19800,0,0,0,0
2015,220000,220100,220102,220102002000230012,育智小学,法治胡同165号,1989,2,3,4,3323,66455,0,16000,0,0,0,0
